number,value,params_lambda_cls,params_lambda_rec,params_lr_d,params_lr_g
0,0.36055298686027526,1.9026045946019632,7.93758666088874,0.0002746436300285511,9.781801964118509e-05
1,0.2937637323141098,0.2936835672698565,14.696236810540892,6.612372870684137e-05,6.612658646612706e-05
2,0.28802994698286055,0.26468309821821084,18.661212048851322,0.00017781056670396794,0.0001468007932555792
3,0.4528178244829178,0.41388442631527983,3.0509458916105214,7.314791453839064e-05,0.00022219602542548883
4,0.3926984637975693,0.8280444240472667,3.9107417325490488,0.00012802944939350265,8.624153664054486e-05
5,0.4166679048538208,0.5619752870204945,4.649345697900867,6.419738329052048e-05,0.00014965254242886746
6,0.3452302521467209,0.4348817671118115,6.535283531563522,0.0002041529502947848,0.00011320391141177729
7,0.4578453528881073,1.347401123694952,2.9617890239950366,5.433947661434234e-05,0.00014453004631242257
