style,acc__disvae,lpips__disvae,acc__disvae_lpips,lpips__disvae_lpips
Impressionism,0.05,0.7218285262584686,0.3,0.533013916015625
Cubism,0.0,0.6857905622039523,0.0,0.5240119642445019
Ukiyo_e,0.0,0.6872095351035779,0.0,0.529675766825676
Baroque,0.0,0.6763777467939589,0.0,0.48742225931750405
Pop_Art,0.09375,0.6972901951521635,0.0625,0.5459738280624151
Abstract_Expressionism,0.76,0.6815289866924286,0.36,0.5304257094860076
Realism,0.5416666666666666,0.703835686047872,0.5,0.5425135418772697
Northern_Renaissance,0.0,0.700417556144573,0.0,0.5226982180719022
